,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,STATEFP,Shape__Area,Shape__Length,TRACTCE
24,161956,0,1,059,S,060590636051,15000US060590636051,+33.6415735,-117.9297892,G5030,Block Group 1,1222,380,1536,0,16,243,49,12,86,8,84,20,0,9,1164,18,123,1413,1142,271,06,234282.6875,1935.89662239452,063605
25,549540,0,2,059,S,060590636052,15000US060590636052,+33.6375103,-117.9252311,G5030,Block Group 2,1223,577,1579,13,14,235,40,76,109,120,206,108,48,0,1418,64,130,1449,1365,84,06,794877.5078125,4493.65466100866,063605
26,323943,0,3,059,S,060590636053,15000US060590636053,+33.6361313,-117.9297228,G5030,Block Group 3,1224,463,2135,42,98,228,18,37,98,29,105,13,0,0,1469,6,323,1812,1607,205,06,468550.32421875,2906.18393881515,063605
27,217142,0,1,059,S,060590637011,15000US060590637011,+33.6470647,-117.9262440,G5030,Block Group 1,1225,291,889,52,7,72,5,27,63,35,71,31,0,10,720,7,193,696,677,19,06,314152.71875,2594.81223789517,063701
28,161131,0,3,059,S,060590637013,15000US060590637013,+33.6516163,-117.9234155,G5030,Block Group 3,1226,460,1738,24,18,145,32,22,117,57,131,18,15,0,1162,19,225,1513,1372,141,06,233141.90625,2417.41164755492,063701
29,241164,0,4,059,S,060590637014,15000US060590637014,+33.6497308,-117.9299022,G5030,Block Group 4,1227,460,1949,26,18,312,18,82,142,14,124,31,0,0,1326,14,204,1745,1745,0,06,348927.734375,2418.15694901507,063701
30,367145,0,1,059,S,060590637021,15000US060590637021,+33.6507555,-117.9142435,G5030,Block Group 1,1228,423,1066,10,27,61,0,23,187,20,179,40,17,0,879,31,12,1054,857,197,06,531216.77734375,3206.04848558277,063702
31,303512,0,3,059,S,060590637023,15000US060590637023,+33.6461280,-117.9166525,G5030,Block Group 3,1229,416,1089,0,30,0,0,18,151,31,226,88,130,7,807,55,7,1082,843,224,06,439101.39453125,3021.46596102601,063702
32,216099,0,4,059,S,060590637024,15000US060590637024,+33.6470785,-117.9233509,G5030,Block Group 4,1230,510,2180,26,13,225,0,0,16,19,263,57,31,22,1424,0,97,2083,2071,12,06,312644.35546875,2587.5525635441,063702
33,581047,0,1,059,S,060590638021,15000US060590638021,+33.6769860,-117.9233225,G5030,Block Group 1,1231,571,1691,0,8,234,28,63,145,154,241,68,34,14,1227,87,119,1572,1408,139,06,841216.1171875,3553.98587510465,063802
34,646174,0,2,059,S,060590638022,15000US060590638022,+33.6758714,-117.9312877,G5030,Block Group 2,1232,458,1208,0,0,92,50,76,159,98,355,117,49,34,1077,84,17,1191,1191,0,06,935478.578125,3845.54634370662,063802
35,423643,0,1,059,S,060590638031,15000US060590638031,+33.6702081,-117.9412986,G5030,Block Group 1,1233,319,905,0,0,90,0,32,75,59,269,70,23,0,664,37,0,905,905,0,06,613233.4921875,3804.199778877,063803
36,1651865,0,2,059,S,060590638032,15000US060590638032,+33.6603343,-117.9429536,G5030,Block Group 2,1234,449,930,0,6,67,39,60,247,33,254,60,42,25,845,49,37,893,893,0,06,2390575.25,7871.43993996206,063803
37,197192,0,3,059,S,060590638033,15000US060590638033,+33.6539211,-117.9430753,G5030,Block Group 3,1235,476,1248,0,10,161,72,39,158,100,199,49,9,9,1015,0,8,1240,1231,9,06,285333.76953125,2370.80714975405,063803
38,400260,0,4,059,S,060590638034,15000US060590638034,+33.6549214,-117.9360639,G5030,Block Group 4,1236,432,1469,20,11,228,27,41,185,86,139,52,0,20,1207,9,69,1400,1400,0,06,579187.3203125,3171.83226423339,063803
39,590016,0,1,059,S,060590638051,15000US060590638051,+33.6912075,-117.9295010,G5030,Block Group 1,1237,429,1310,36,4,91,13,52,183,88,316,61,10,0,1053,38,25,1285,1212,73,06,854466.94921875,6411.06866659246,063805
40,416469,0,2,059,S,060590638052,15000US060590638052,+33.6889462,-117.9317405,G5030,Block Group 2,1264,456,1316,5,15,149,8,43,133,63,259,135,39,15,1033,106,15,1301,1208,93,06,603114.36328125,3471.86699926538,063805
41,387616,0,1,059,S,060590638061,15000US060590638061,+33.6840318,-117.9224677,G5030,Block Group 1,1265,453,1385,7,10,138,37,30,167,53,170,65,34,22,960,58,29,1356,1150,82,06,561266.12109375,3255.38419903394,063806
42,441058,0,2,059,S,060590638062,15000US060590638062,+33.6832195,-117.9282505,G5030,Block Group 2,1266,399,1182,0,13,132,0,66,76,58,230,190,57,0,935,55,26,1156,1135,21,06,638638.30078125,3971.76303265809,063806
43,1365937,0,3,059,S,060590638063,15000US060590638063,+33.6799479,-117.9379014,G5030,Block Group 3,1267,556,1345,0,0,129,0,23,161,65,526,104,17,31,1069,146,39,1306,1273,33,06,1977681.91796875,6589.63398157803,063806
44,1923760,0,2,059,S,060590638072,15000US060590638072,+33.6637062,-117.9280572,G5030,Block Group 2,1268,857,2136,19,138,377,17,37,395,9,195,21,26,0,1618,122,88,2048,1859,189,06,2784290.09765625,6803.60986512647,063807
45,1142855,0,1,059,S,060590639071,15000US060590639071,+33.6908193,-117.8774200,G5030,Block Group 1,1269,1873,3383,0,0,146,12,56,315,184,1419,423,240,14,3135,165,0,3383,3337,46,06,1655099.4140625,5479.3759120256,063907
46,541192,0,1,059,S,060590639081,15000US060590639081,+33.6850731,-117.8910791,G5030,Block Group 1,1270,364,1303,0,18,176,13,39,89,69,307,85,31,0,1005,57,23,1280,1198,82,06,783660.58203125,4007.83637148704,063908
47,560674,0,2,059,S,060590639082,15000US060590639082,+33.6849637,-117.8799871,G5030,Block Group 2,1271,704,1619,0,19,218,39,38,302,41,387,90,12,0,1460,35,0,1619,1514,105,06,811871.5078125,4017.30023068877,063908
