,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
46,541192,0,1,059,364,0,43,70,6,14,16,79,54,21,0,22,19,10,0,0,10,67255.0,38039800,109,36,,52596.0,65387.0,,314,S,060590639081,15000US060590639081,+33.6850731,-117.8910791,G5030,Block Group 1,1270,06,783660.58203125,4007.83637148704,063908
47,560674,0,2,059,704,75,32,61,106,152,43,122,21,0,0,23,0,42,8,19,0,91439.0,67640600,62,25,90038.0,49286.0,74489.0,40089.0,339,S,060590639082,15000US060590639082,+33.6849637,-117.8799871,G5030,Block Group 2,1271,06,811871.5078125,4017.30023068877,063908
48,3107345,0,2,059,986,39,105,96,80,96,53,145,151,132,49,14,13,0,0,13,0,92736.0,108161000,294,216,113606.0,61154.0,66250.0,56364.0,695,S,060590639072,15000US060590639072,+33.6937673,-117.9159329,G5030,Block Group 2,1351,06,4500422.8203125,12677.4063692662,063907
49,1064491,0,3,059,701,54,13,46,60,109,154,43,140,15,0,26,0,13,12,0,16,122891.0,90545300,201,130,127843.0,46612.0,63233.0,37164.0,554,S,060590639073,15000US060590639073,+33.6920135,-117.8933433,G5030,Block Group 3,1352,06,1541657.9375,6156.56655127883,063907
50,316364,0,3,059,550,23,26,91,149,136,14,11,8,43,0,15,7,12,15,0,0,92708.0,44748400,109,0,70958.0,44762.0,42560.0,50547.0,144,S,060590639083,15000US060590639083,+33.6801072,-117.8888648,G5030,Block Group 3,1385,06,458049.66015625,2859.03757619801,063908
51,1821129,0,1,059,409,0,22,34,57,38,69,55,62,0,8,12,0,9,16,17,10,118295.0,51685700,159,103,122159.0,36620.0,52386.0,30170.0,323,S,060590639041,15000US060590639041,+33.6701267,-117.9008298,G5030,Block Group 1,1402,06,2636137.046875,7445.25810494394,063904
52,11291839,145012,2,059,4546,37,159,290,411,427,396,739,522,717,66,23,99,117,132,190,221,85488.0,510803200,362,178,121917.0,56459.0,73008.0,50233.0,1507,S,060590626102,15000US060590626102,+33.6691905,-117.8609131,G5030,Block Group 2,1505,06,16554744.4882813,17219.065752314,062610
53,83621,0,3,059,317,0,34,40,57,20,2,0,0,39,0,0,39,0,37,22,27,44313.0,16329100,35,15,37333.0,23805.0,25720.0,22813.0,234,S,060590639043,15000US060590639043,+33.6768292,-117.8989761,G5030,Block Group 3,1511,06,121063.14453125,1482.85519600455,063904
54,270750,0,3,059,367,0,44,9,80,61,41,61,10,0,0,28,8,7,18,0,0,96750.0,38521500,28,28,97357.0,53801.0,52917.0,54191.0,132,S,060590633013,15000US060590633013,+33.6337099,-117.9194814,G5030,Block Group 3,1532,06,391590.75,2647.342789031,063301
55,163251,0,2,059,376,7,58,32,35,35,0,0,0,7,0,35,50,36,74,0,7,34186.0,17457800,62,24,34185.0,21858.0,24122.0,13179.0,259,S,060590637012,15000US060590637012,+33.6452131,-117.9298430,G5030,Block Group 2,1563,06,236173.6484375,1946.41044298807,063701
56,216124,0,5,059,321,0,30,37,62,75,0,0,0,0,0,12,13,28,55,9,0,65402.0,20918000,53,0,51333.0,27487.0,25878.0,46655.0,160,S,060590637025,15000US060590637025,+33.6470989,-117.9204613,G5030,Block Group 5,1564,06,312682.125,2587.27061322222,063702
57,344982,0,2,059,759,18,99,12,36,126,76,52,162,37,0,21,0,43,0,0,77,120436.0,91326300,100,151,124514.0,48909.0,42182.0,49334.0,431,S,060590631022,15000US060590631022,+33.6592712,-117.8953280,G5030,Block Group 2,1604,06,499245.81640625,3035.4136778238,063102
58,361410,0,1,059,666,56,19,58,0,56,39,105,122,120,0,0,19,0,0,19,53,,92368900,18,18,111771.0,53355.0,81389.0,31952.0,267,S,060590626101,15000US060590626101,+33.6764170,-117.8488101,G5030,Block Group 1,1675,06,523228.921875,2970.08163520915,062610
