,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
16,324236,0,2,059,S,060590633012,15000US060590633012,150,334,150,96,0,11,0,85,54,143695000.0,103745000.0,39950000.0,+33.6370234,-117.9142547,G5030,Block Group 2,970,06,468984.76953125,2905.83141063024,063301
17,380971,0,3,059,S,060590633023,15000US060590633023,234,308,234,162,8,43,0,111,72,243632000.0,172672000.0,70960000.0,+33.6292900,-117.9201115,G5030,Block Group 3,971,06,550948.453125,3281.49320609435,063302
18,323917,0,4,059,S,060590633024,15000US060590633024,305,87,305,250,0,73,0,177,55,292824000.0,252560000.0,40264000.0,+33.6293578,-117.9134124,G5030,Block Group 4,972,06,468439.7578125,2903.303004156,063302
19,323506,0,4,059,S,060590631024,15000US060590631024,404,311,404,336,44,63,0,229,68,315345000.0,250735000.0,64610000.0,+33.6542429,-117.8915047,G5030,Block Group 4,1074,06,468116.16015625,2927.43003187623,063102
20,488673,0,2,059,S,060590636012,15000US060590636012,248,164,248,211,0,0,0,211,37,151789100.0,131419100.0,20370000.0,+33.6475670,-117.9348143,G5030,Block Group 2,1215,06,707002.64453125,4618.91120720915,063601
21,160457,0,3,059,S,060590636013,15000US060590636013,247,68,247,192,0,22,0,170,55,132424000.0,101054000.0,31370000.0,+33.6455814,-117.9434765,G5030,Block Group 3,1216,06,232134.95703125,1972.1569290477,063601
22,485775,0,1,059,S,060590636041,15000US060590636041,66,416,66,57,0,0,0,57,9,,,,+33.6379091,-117.9340825,G5030,Block Group 1,1220,06,702654.6953125,3875.97794923857,063604
23,715930,0,2,059,S,060590636042,15000US060590636042,530,525,530,234,41,21,0,172,296,164116000.0,127021000.0,37095000.0,+33.6386121,-117.9396628,G5030,Block Group 2,1221,06,1035578.00390625,4264.05311608819,063604
24,161956,0,1,059,S,060590636051,15000US060590636051,23,357,23,23,0,0,0,23,0,,,,+33.6415735,-117.9297892,G5030,Block Group 1,1222,06,234282.6875,1935.89662239452,063605
25,549540,0,2,059,S,060590636052,15000US060590636052,109,468,109,109,0,15,0,94,0,68810000.0,68810000.0,,+33.6375103,-117.9252311,G5030,Block Group 2,1223,06,794877.5078125,4493.65466100866,063605
26,323943,0,3,059,S,060590636053,15000US060590636053,61,402,61,28,0,13,0,15,33,66740000.0,14375000.0,52365000.0,+33.6361313,-117.9297228,G5030,Block Group 3,1224,06,468550.32421875,2906.18393881515,063605
27,217142,0,1,059,S,060590637011,15000US060590637011,77,214,77,54,0,0,0,54,23,,,,+33.6470647,-117.9262440,G5030,Block Group 1,1225,06,314152.71875,2594.81223789517,063701
28,161131,0,3,059,S,060590637013,15000US060590637013,50,410,50,39,0,7,0,32,11,,,,+33.6516163,-117.9234155,G5030,Block Group 3,1226,06,233141.90625,2417.41164755492,063701
29,241164,0,4,059,S,060590637014,15000US060590637014,90,370,90,32,0,14,0,18,58,,,,+33.6497308,-117.9299022,G5030,Block Group 4,1227,06,348927.734375,2418.15694901507,063701
30,367145,0,1,059,S,060590637021,15000US060590637021,68,355,68,60,0,0,0,60,8,,,,+33.6507555,-117.9142435,G5030,Block Group 1,1228,06,531216.77734375,3206.04848558277,063702
31,303512,0,3,059,S,060590637023,15000US060590637023,154,262,154,90,0,0,0,90,64,70795000.0,67220000.0,3575000.0,+33.6461280,-117.9166525,G5030,Block Group 3,1229,06,439101.39453125,3021.46596102601,063702
32,216099,0,4,059,S,060590637024,15000US060590637024,191,319,191,171,12,33,0,126,20,,,,+33.6470785,-117.9233509,G5030,Block Group 4,1230,06,312644.35546875,2587.5525635441,063702
33,581047,0,1,059,S,060590638021,15000US060590638021,318,253,318,225,0,36,0,189,93,222495000.0,159245000.0,63250000.0,+33.6769860,-117.9233225,G5030,Block Group 1,1231,06,841216.1171875,3553.98587510465,063802
