,ALAND,AWATER,BLKGRPCE,COUNTYFP,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
10,337366,0,2,059,1192,0,29,88,7,81,78,30,39,11,14,609,8,8,0,10,0,0,583,0,0,0,27,26,50,65,60,81,22,37,0,0,0,10,9,0,1,27,9,16,9,34.8,,,58.7,,32.0,10.6,33.8,46.1,35.2,34.0,37.1,1192,1003,18,0,24,0,86,61,1192,S,060590632012,15000US060590632012,+33.6508524,-117.9035781,G5030,Block Group 2,964,06,488130.01953125,2995.99423426878,063201
11,132398,0,1,059,834,0,14,108,14,53,51,0,9,10,10,286,0,0,8,9,0,0,548,0,0,0,25,105,24,34,36,10,11,10,8,8,0,21,16,0,0,11,0,0,0,32.0,,,29.1,,29.0,,41.1,25.6,31.0,40.1,25.6,834,597,0,0,44,0,179,14,834,S,060590632021,15000US060590632021,+33.6468334,-117.9108849,G5030,Block Group 1,965,06,191546.61328125,2012.43491449782,063202
12,331171,0,2,059,934,21,22,34,41,21,102,79,25,0,9,537,27,17,26,15,11,0,397,0,0,7,7,44,33,23,37,25,66,29,20,9,0,17,7,14,19,0,8,0,0,48.0,,,17.4,,,50.1,48.5,35.2,48.0,48.1,45.9,934,783,0,0,27,0,12,112,934,S,060590632022,15000US060590632022,+33.6424291,-117.9118259,G5030,Block Group 2,966,06,479076.22265625,2947.49050366808,063202
13,324028,0,3,059,980,0,25,52,20,47,15,51,70,12,0,478,18,7,8,0,16,6,502,6,10,0,11,107,27,17,64,42,39,28,0,7,7,0,0,15,7,0,10,13,10,37.0,,,,,,17.8,37.0,,36.6,41.4,30.3,980,900,0,0,19,10,0,51,980,S,060590632023,15000US060590632023,+33.6377321,-117.9050905,G5030,Block Group 3,967,06,468693.77734375,2903.58315346102,063202
14,203597,0,4,059,1019,58,143,62,56,41,13,45,53,26,0,592,0,9,15,14,13,0,427,0,0,0,29,49,19,25,6,43,9,33,8,0,7,6,6,26,14,47,0,10,0,33.7,,,59.1,,,,34.0,36.6,36.1,33.5,39.7,1019,848,26,0,63,0,62,20,1019,S,060590632024,15000US060590632024,+33.6442198,-117.9079689,G5030,Block Group 4,968,06,294537.91015625,2420.80879078101,063202
15,330599,0,1,059,1000,12,166,85,33,27,0,19,22,0,11,433,7,0,9,0,0,0,567,0,0,25,0,248,57,77,0,30,0,22,0,21,6,29,0,0,9,7,0,6,0,29.9,,,,,,,29.8,31.5,29.8,30.0,29.7,1000,897,14,0,13,0,43,33,1000,S,060590633011,15000US060590633011,+33.6393712,-117.9176214,G5030,Block Group 1,969,06,478214.859375,2896.05629529304,063301
16,324236,0,2,059,1179,0,43,45,71,52,23,53,15,0,24,463,26,0,9,7,7,0,716,3,0,0,15,81,86,53,21,89,11,8,12,26,0,25,11,8,35,0,0,0,0,34.7,,,43.4,,,,34.8,15.6,34.9,38.5,32.3,1179,1093,9,12,35,0,11,19,1179,S,060590633012,15000US060590633012,+33.6370234,-117.9142547,G5030,Block Group 2,970,06,468984.76953125,2905.83141063024,063301
17,380971,0,3,059,1470,30,54,37,58,86,112,95,12,50,15,762,25,8,9,9,0,0,708,0,0,27,0,0,44,82,16,66,127,10,64,0,19,0,0,0,24,13,0,0,0,43.4,,,51.3,,,30.1,43.1,43.7,41.8,43.5,39.7,1470,1234,0,0,142,0,0,94,1470,S,060590633023,15000US060590633023,+33.6292900,-117.9201115,G5030,Block Group 3,971,06,550948.453125,3281.49320609435,063302
18,323917,0,4,059,1175,15,0,53,69,8,56,12,30,19,20,613,11,0,20,11,2,0,562,46,0,14,33,40,71,50,8,53,73,32,30,0,0,0,10,0,12,4,33,0,65,32.6,,,,,,,32.6,25.0,32.9,32.3,34.5,1175,1151,0,0,15,0,0,9,1175,S,060590633024,15000US060590633024,+33.6293578,-117.9134124,G5030,Block Group 4,972,06,468439.7578125,2903.303004156,063302
19,323506,0,4,059,1647,23,102,110,41,62,29,14,116,31,22,855,0,33,73,7,0,0,792,13,26,15,0,173,12,106,0,0,41,73,48,66,14,13,74,22,16,0,13,25,0,39.8,,,29.0,,,36.4,45.6,32.7,36.5,38.0,36.5,1647,1342,0,0,104,0,0,201,1647,S,060590631024,15000US060590631024,+33.6542429,-117.8915047,G5030,Block Group 4,1074,06,468116.16015625,2927.43003187623,063102
