,ALAND,AWATER,BLKGRPCE,COUNTYFP,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
50,316364,0,3,059,1226,17,107,102,71,12,0,51,16,0,20,544,0,12,0,27,0,0,682,25,0,0,13,75,75,90,128,12,73,12,15,0,0,0,68,0,0,15,0,0,28,34.5,,,61.5,,,,34.5,31.4,35.2,32.4,38.6,1226,992,96,0,70,0,29,39,1226,S,060590639083,15000US060590639083,+33.6801072,-117.8888648,G5030,Block Group 3,1385,06,458049.66015625,2859.03757619801,063908
51,1821129,0,1,059,1276,46,0,55,14,55,27,56,83,17,21,656,15,26,30,18,8,0,620,67,11,12,0,12,9,19,30,111,11,69,37,12,11,22,11,41,16,35,26,21,12,48.6,,,57.6,,32.7,13.0,49.6,32.4,47.4,44.2,48.7,1276,882,23,0,231,0,100,40,1276,S,060590639041,15000US060590639041,+33.6701267,-117.9008298,G5030,Block Group 1,1402,06,2636137.046875,7445.25810494394,063904
52,11291839,145012,2,059,8429,358,782,874,334,280,310,276,244,44,19,4417,123,18,47,19,0,0,4012,35,287,107,221,852,604,281,313,188,163,226,76,77,56,130,82,73,18,58,191,212,170,34.7,49.4,,27.4,,34.0,32.1,36.1,32.9,32.4,32.2,32.7,8429,4903,300,0,2576,0,393,257,8429,S,060590626102,15000US060590626102,+33.6691905,-117.8609131,G5030,Block Group 2,1505,06,16554744.4882813,17219.065752314,062610
53,83621,0,3,059,1377,73,58,56,0,80,34,0,18,28,7,744,0,0,14,0,0,0,633,48,22,34,44,87,12,34,74,9,39,31,51,0,15,0,20,0,0,0,65,40,0,20.8,,59.8,25.9,11.5,29.6,,23.7,23.4,23.8,20.9,29.1,1377,997,0,25,139,28,147,41,1377,S,060590639043,15000US060590639043,+33.6768292,-117.8989761,G5030,Block Group 3,1511,06,121063.14453125,1482.85519600455,063904
54,270750,0,3,059,671,0,14,30,68,12,0,44,82,0,9,308,0,0,0,18,0,0,363,4,4,8,24,74,58,28,20,4,12,104,0,0,0,0,0,0,23,0,0,0,0,36.7,,,23.5,,,,36.7,56.2,37.9,41.9,35.9,671,538,10,0,16,23,34,50,671,S,060590633013,15000US060590633013,+33.6337099,-117.9194814,G5030,Block Group 3,1532,06,391590.75,2647.342789031,063301
55,163251,0,2,059,1375,54,101,18,110,70,33,25,31,0,0,745,19,31,0,0,7,0,630,0,0,23,55,69,31,20,73,50,33,35,18,0,0,0,7,12,0,0,25,11,27,37.3,,,,,25.2,,41.8,26.1,27.7,28.4,26.7,1375,533,0,0,20,20,802,0,1375,S,060590637012,15000US060590637012,+33.6452131,-117.9298430,G5030,Block Group 2,1563,06,236173.6484375,1946.41044298807,063701
56,216124,0,5,059,1140,69,20,160,93,220,10,9,19,0,0,770,12,28,13,0,0,0,370,20,0,0,0,73,29,27,58,34,0,9,0,0,0,0,0,0,0,0,9,36,0,33.6,,,23.9,,40.2,,33.4,38.0,34.1,38.1,27.5,1140,635,0,0,45,0,441,19,1140,S,060590637025,15000US060590637025,+33.6470989,-117.9204613,G5030,Block Group 5,1564,06,312682.125,2587.27061322222,063702
57,344982,0,2,059,2265,0,26,80,153,88,38,60,113,24,8,835,17,16,36,0,23,5,1430,0,0,0,95,89,118,141,34,93,56,97,55,34,4,51,64,25,5,40,33,0,0,36.8,,7.4,55.9,,,32.3,37.6,35.6,36.5,40.2,34.6,2265,1954,4,57,52,0,26,172,2265,S,060590631022,15000US060590631022,+33.6592712,-117.8953280,G5030,Block Group 2,1604,06,499245.81640625,3035.4136778238,063102
58,361410,0,1,059,1130,65,64,77,46,91,75,53,64,15,0,694,0,20,18,0,0,0,436,0,0,0,53,85,102,80,0,20,52,28,16,0,0,0,0,0,0,0,10,14,0,32.6,,,44.0,,,,32.1,36.7,35.7,36.6,34.1,1130,768,0,0,362,0,0,0,1130,S,060590626101,15000US060590626101,+33.6764170,-117.8488101,G5030,Block Group 1,1675,06,523228.921875,2970.08163520915,062610
59,1173861,9666,1,059,1905,81,21,31,107,70,32,134,76,22,8,897,47,7,46,0,50,12,1008,37,12,14,16,65,45,62,119,65,70,70,50,18,20,25,19,27,22,29,1,0,0,48.1,15.9,,37.6,,36.2,19.3,47.4,36.6,41.8,43.6,41.4,1905,1340,79,0,129,0,317,40,1905,S,060590636011,15000US060590636011,+33.6484875,-117.9440313,G5030,Block Group 1,1722,06,1712314.1171875,7268.98940085411,063601
60,411152,0,1,059,4083,141,225,127,172,188,155,129,89,43,14,2121,9,38,20,0,0,8,1962,111,28,47,66,172,74,125,236,122,82,90,6,11,10,11,52,0,8,19,127,86,14,28.3,,,54.5,19.4,25.0,25.5,42.2,26.3,27.4,28.2,26.7,4083,2264,0,17,91,127,1542,42,4083,S,060590638081,15000US060590638081,+33.6567655,-117.9289293,G5030,Block Group 1,1723,06,594962.3203125,4350.21680313886,063808
61,324708,0,2,059,1931,53,53,79,102,100,84,90,30,0,18,943,9,12,36,11,0,9,988,14,0,34,50,73,55,96,127,23,106,52,27,37,0,12,58,15,6,14,60,16,0,40.8,,20.7,30.5,,30.4,45.1,43.6,33.2,38.2,37.3,38.7,1931,1238,12,28,72,13,507,61,1931,S,060590638082,15000US060590638082,+33.6543314,-117.9234419,G5030,Block Group 2,1724,06,469853.3671875,2912.03332017259,063808
62,946824,0,1,059,2231,25,102,67,140,109,50,105,60,9,0,1044,0,15,76,17,3,0,1187,0,20,0,28,116,61,159,27,87,65,128,0,24,29,0,24,37,36,35,0,0,0,38.6,,,26.0,,59.4,59.5,39.2,59.3,35.8,37.5,35.5,2231,1512,0,0,572,0,89,58,2231,S,060590639021,15000US060590639021,+33.6840828,-117.9138241,G5030,Block Group 1,1725,06,1370998.1796875,4821.01666278732,063902
63,203799,0,2,059,1571,49,246,105,0,27,29,27,15,30,0,692,0,13,0,0,0,15,879,47,0,12,61,442,43,0,14,0,66,85,0,0,0,0,0,16,0,0,65,15,30,28.0,26.9,,27.1,,29.7,,27.9,29.5,27.9,28.3,27.7,1571,1230,65,0,164,0,101,11,1571,S,060590639022,15000US060590639022,+33.6756026,-117.9169344,G5030,Block Group 2,1726,06,295042.26953125,2146.97082461495,063902
64,775763,0,1,059,1988,91,119,30,42,105,95,46,46,0,21,938,0,0,40,22,0,13,1050,10,12,42,68,98,30,62,69,113,64,54,21,20,22,30,18,36,23,9,20,14,0,33.3,,,26.1,25.8,22.4,58.8,55.1,25.3,32.4,29.1,36.5,1988,1269,0,23,497,85,96,18,1988,S,060590639031,15000US060590639031,+33.6800462,-117.8996871,G5030,Block Group 1,1727,06,1123196.64453125,5493.87015927376,063903
65,604461,0,2,059,1989,91,48,102,117,70,70,90,61,28,21,1089,5,11,7,12,14,9,900,6,16,2,59,16,154,85,37,110,18,46,8,29,6,54,34,29,6,49,16,38,4,35.1,62.2,3.9,39.6,,42.3,53.8,34.9,36.0,35.6,33.6,39.6,1989,1638,39,66,197,0,34,15,1989,S,060590639032,15000US060590639032,+33.6848629,-117.9021898,G5030,Block Group 2,1728,06,875273.12890625,3991.99437531642,063903
66,580268,0,2,059,2047,71,22,152,104,6,65,86,30,16,59,1018,0,11,42,61,18,36,1029,27,44,19,54,19,101,94,20,71,98,31,26,16,0,10,42,6,9,93,12,0,6,35.1,,,36.7,,37.4,22.7,49.6,23.4,35.3,36.1,35.0,2047,1555,27,0,243,22,73,127,2047,S,060590639042,15000US060590639042,+33.6748410,-117.8928079,G5030,Block Group 2,1729,06,840044.1953125,4231.02151719862,063904
67,513888,0,1,059,1520,29,102,67,62,38,25,73,102,48,0,724,7,11,0,5,15,5,796,0,10,36,46,120,41,59,30,40,98,39,36,13,8,22,61,7,0,28,17,25,0,41.5,27.9,,32.4,,,9.4,44.6,27.0,38.5,35.9,39.4,1520,1193,41,0,160,32,11,83,1520,S,060590639051,15000US060590639051,+33.6655703,-117.9139178,G5030,Block Group 1,1730,06,743790.3671875,3783.59543925742,063905
68,295853,0,2,059,1001,25,69,160,12,40,19,25,25,18,0,501,0,11,0,21,0,0,500,10,0,0,76,59,83,24,30,43,62,62,10,0,12,0,0,7,0,0,36,13,0,32.5,,,39.9,,40.5,,34.3,27.8,34.2,34.1,35.0,1001,859,0,0,41,0,51,50,1001,S,060590639052,15000US060590639052,+33.6594019,-117.9171290,G5030,Block Group 2,1731,06,428150.640625,2969.17612508978,063905
69,325623,0,1,059,2391,37,312,157,110,121,16,123,4,15,100,1405,8,18,31,4,0,5,986,0,0,0,22,148,194,80,48,92,123,72,4,37,0,18,8,4,16,13,18,0,30,31.8,,,41.1,,50.1,28.0,35.2,29.6,33.2,30.5,36.5,2391,1838,62,0,103,0,269,119,2391,S,060590639061,15000US060590639061,+33.6540480,-117.9132833,G5030,Block Group 1,1732,06,471176.0703125,4130.307669091,063906
70,111446,0,2,059,1410,23,14,0,41,135,41,32,75,17,0,587,16,0,0,0,2,0,823,61,0,0,31,205,12,62,22,61,72,38,0,23,0,0,0,0,17,21,42,40,0,27.7,24.3,,,,28.0,,29.1,27.9,29.5,40.9,27.2,1410,727,36,10,45,0,592,0,1410,S,060590639062,15000US060590639062,+33.6553294,-117.9132600,G5030,Block Group 2,1733,06,161266.4453125,1817.26177064177,063906
71,625083,0,3,059,2370,25,77,227,77,83,106,69,14,0,25,1070,0,71,0,0,0,36,1300,146,40,33,65,151,109,120,47,89,66,78,25,98,19,22,18,0,0,17,53,60,10,35.4,,,41.7,,30.8,18.6,36.2,31.0,31.9,32.6,31.1,2370,1565,13,0,95,79,434,184,2370,S,060590639063,15000US060590639063,+33.6601360,-117.9041334,G5030,Block Group 3,1734,06,904613.71875,4487.18419549531,063906
72,835355,0,3,059,1240,73,31,154,36,0,47,46,40,0,22,692,36,0,0,33,0,0,548,0,0,12,89,66,31,38,42,88,0,0,41,0,0,0,52,0,0,13,31,0,32,32.0,17.5,,,,,,48.0,30.4,30.7,30.6,34.0,1240,1004,185,0,26,0,12,13,1240,S,060590639023,15000US060590639023,+33.6713146,-117.9129663,G5030,Block Group 3,1804,06,1209237.2265625,4531.54036539093,063902
73,426535,0,4,059,1625,149,121,17,0,49,111,69,43,29,63,928,13,0,0,41,0,0,697,72,0,0,22,34,112,30,13,41,52,133,0,13,20,0,0,0,0,0,38,26,121,34.5,,,27.3,,,27.7,34.4,31.6,31.0,29.1,31.8,1625,1320,34,0,154,0,33,84,1625,S,060590639024,15000US060590639024,+33.6781853,-117.9129197,G5030,Block Group 4,1805,06,617534.546875,3772.65363544421,063902
74,548656,0,3,059,1637,45,48,127,29,9,40,11,45,11,48,749,29,50,37,16,9,38,888,29,0,0,13,48,84,6,50,8,54,69,39,70,33,26,23,10,63,105,15,9,0,55.1,64.6,,64.2,,31.2,9.4,54.4,32.0,45.6,33.6,54.7,1637,1195,34,0,113,0,97,198,1637,S,060590639053,15000US060590639053,+33.6600313,-117.9114501,G5030,Block Group 3,1807,06,794013.859375,3692.44528688203,063905
75,485396,0,4,059,1475,19,208,320,118,19,83,92,0,0,0,887,0,0,0,0,0,0,588,13,0,0,82,158,70,100,67,0,13,0,0,15,0,0,0,0,0,0,0,0,0,31.1,,,35.3,,,,30.7,34.0,31.5,32.3,27.7,1475,1093,28,0,282,0,45,27,1475,S,060590639084,15000US060590639084,+33.6788131,-117.8833480,G5030,Block Group 4,1813,06,702767.89453125,3831.79598082643,063908
